GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
produtos,br.com.alura.maven,App,17,0,0,0,5,0,2,0,2,0
produtos,br.com.alura.maven,Produto,24,14,0,0,6,5,3,2,3,2
